trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
644,False,"{'a': 0.85, 'e': 0.03963364364733772}",25,10,23.60656265601379,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.85, 'e': 0.03943547542910103}",30,10,37.40936960053456,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.85, 'e': 0.03923829805195553}",20,14,13.767640070893464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.85, 'e': 0.03904210656169575}",25,10,28.696391559907426,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.85, 'e': 0.03884689602888727}",30,13,33.03123190235011,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.85, 'e': 0.038652661548742834}",25,15,20.365617038463395,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.85, 'e': 0.03845939824099912}",20,12,16.321718356035756,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.85, 'e': 0.03826710124979413}",20,7,-22.97830613372862,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
652,False,"{'a': 0.85, 'e': 0.038075765743545154}",25,11,17.20639883859849,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.85, 'e': 0.03788538691482743}",25,7,29.37038960713718,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.85, 'e': 0.03769595998025329}",20,9,10.042487551242914,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.85, 'e': 0.03750748018035202}",20,12,14.268785707362971,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.85, 'e': 0.03731994277945026}",25,18,13.661521220508536,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.85, 'e': 0.037133343065553014}",30,8,38.882541095590156,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.85, 'e': 0.03694767635022524}",20,8,15.628691936379912,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.85, 'e': 0.03676293796847412}",20,8,22.91529334756478,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.85, 'e': 0.03657912327863175}",20,13,12.841250022314345,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.85, 'e': 0.036396227662238594}",25,13,23.32212918190073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.85, 'e': 0.0362142465239274}",25,7,28.875228079720486,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.85, 'e': 0.03603317529130776}",20,6,24.732580551926922,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.85, 'e': 0.03585300941485122}",20,4,23.86465973194648,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.85, 'e': 0.03567374436777696}",30,19,18.875882403813023,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.85, 'e': 0.035495375645938076}",25,5,32.693400816684296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.85, 'e': 0.03531789876770839}",20,16,10.02758740106104,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.85, 'e': 0.035141309273869846}",30,8,39.75383610224131,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.85, 'e': 0.034965602727500496}",35,11,40.38433380972975,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.85, 'e': 0.03479077471386299}",25,13,20.684904585626445,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.85, 'e': 0.03461682084029368}",20,16,6.857362037786299,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.85, 'e': 0.03444373673609221}",20,7,26.075830595968327,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.85, 'e': 0.03427151805241175}",20,9,20.321890189144185,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.85, 'e': 0.03410016046214969}",25,13,18.524018953889108,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.85, 'e': 0.03392965965983894}",20,13,14.009912629692485,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.85, 'e': 0.03376001136153975}",20,13,15.24389149379443,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.85, 'e': 0.03359121130473205}",20,14,12.95133320670229,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
